Bib,Name,Gender,City/State,Chip Start Time,Gun Time,10K Time,Half Time,30K Time,Full Course Time
389,Michael Meister,M,FL,5:59:59 AM EST,3:49:25,52:29,1:51:47,2:41:18,3:49:10
828,Hannah Anderson,F,FL,5:59:59 AM EST,3:49:51,52:35,1:49:55,2:38:55,3:49:14
843,Sean Brennan,M,Parma,5:59:59 AM EST,3:49:19,54:19,1:53:49,2:41:24,3:49:18
65,Ryan Berninger,M,DEERFIELD BCH,5:59:59 AM EST,3:50:39,51:26,1:49:14,2:38:58,3:49:21
220,Gary Batson,M,Hollywood,5:59:59 AM EST,3:53:08,54:25,1:54:38,2:43:19,3:49:50
644,Sean Pham,M,Fort Myers,5:59:59 AM EST,3:55:19,--,1:50:44,2:37:50,3:49:52
776,Jennifer Habeeb,F,Hoboken,5:59:59 AM EST,3:50:56,54:51,1:55:37,2:44:03,3:50:22
514,Nadine White-Boyd,F,"LAKE WORTH, FL",6:01:08 AM EST,3:51:31,53:06,1:53:10,2:43:26,3:50:22
795,Sergi Gelonch,M,Miami,5:59:59 AM EST,3:55:22,54:16,1:53:48,2:42:05,3:50:53
693,NESTOR PINEDA,M,"PEMBROKE PNES, FL",6:01:09 AM EST,3:52:05,57:07,1:58:17,2:46:52,3:50:55
686,Grae Kennedy,M,Boynton beach,5:59:59 AM EST,3:52:48,59:12,2:01:13,2:50:49,3:51:09
696,Debbie Danto,F,Lauderdale By The Sea,5:59:59 AM EST,3:51:44,55:35,1:55:52,2:44:45,3:51:22
20,Whitney Cherner,F,LAKE WORTH,5:59:59 AM EST,3:52:38,52:11,1:50:00,2:38:34,3:51:23
383,Bryan Emery,M,NC,5:59:59 AM EST,3:55:29,54:44,1:51:27,2:39:04,3:52:02
543,Adalberto Dias,M,Santana de Parnaiba,5:59:59 AM EST,3:52:32,52:28,1:52:26,2:41:08,3:52:05
228,Peter Eschenbrenner,M,FL,5:59:59 AM EST,4:22:50,26:57,1:33:16,2:31:01,3:52:29
135,Paul Schoenlaub,M,St. Joseph,5:59:59 AM EST,3:52:49,49:35,1:48:18,2:39:02,3:52:33
